Rank,Canonical SMILES,rbl
156,[M]/[O]=C(\C(=C1SCCCCS1)C(=O)O)/O,0.107717872
157,COCCN(CC(O[M])(C)C)C,0.107613206
158,OC(=O)c1ccncc1C(=O)O[M],0.107446194
159,[M][O]=[S@@](=O)(CNC(=O)Nc1ccc(cc1)C(F)(F)F)O,0.10739243
160,[SrH][O]=C1C(=O)C(=O)C1=O,0.107113481
161,[M]OS(=O)(=O)c1ccc2c(c1)cc(cc2)S(=O)(=O)O,0.107058108
162,OC(=O)c1ccccc1[O]([M])C,0.106967866
163,CC[C@H]([C@H]1O[C@]2(C=C[C@@H]([C@@]3(O2)CC[C@@](O3)(C)[C@H]2CC[C@@]([C@@H](O2)C)(CC)O[M])N2N=NC(=C2)c2ccc(cc2)Br)[C@@H](C[C@@H]1C)C)C(=O)[C@H]([C@H]([C@@H]([C@@H]1O[C@H](CC[C@@H]1C)[C@H](C(=O)O)CC)C)O)C,0.106438637
164,OC(=[O][M])CC=C,0.105804443
165,[M][O]=[S@](=O)(c1ccccc1P(C1=CC=CN1C)C1=CC=CN1C)O,0.10578841
166,OC[C@@H](C(=O)O)NCc1ccc(cc1)/C(=[O]\[M])/O,0.105744779
167,[M][O]1CCO/N=C/c2cccc(c2O)OC/C=C\COc2cccc(/C=N/OCCO/N=C/c3ccc(/C=N/1)c(O)c3O)c2O,0.105660319
168,C[O](c1ccc(cc1)/C/1=C\2/N=C(c3c2cccc3)/N=C/2\N=C(c3c2cccc3)/N=C/2\N=C(/N=C/3\N=C1c1ccccc31)c1ccccc21)[M],0.105623364
169,[M]OC(=O)c1cc(ccc1C(=O)O)c1ccc(c(c1)C(=O)O)C(=O)O,0.105509222
170,COc1ccc2c(c1)OC=C(C2=O)c1ccc(c(c1)[S@@](=[O][M])(=O)O)O,0.105484664
171,[M]O[C@@H]1[C@@H](CO[P@@](=O)(O[P@](=O)(OP(=O)(O)O)O)O)O[C@H]([C@@H]1O)N1C=Nc2c1ncnc2N,0.105482817
172,[M][O]=P(CN(CP(=O)(O)O)CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)(O)O,0.105472863
173,[M]OC(=O)C1=C(N=C(N1)Cc1cccnc1)C(=O)O,0.10538125
174,[M]/[O]=C(/c1ccncc1)\O,0.105203331
175,[M][O]1c2c(cccc2P(c2ccccc2)c2ccccc2)Nc2c1c(ccc2)P(c1ccccc1)c1ccccc1,0.10508579
176,[M][O]=[S@](=O)(c1ccc(cc1)c1c(c2ccc(cc2)S(=O)(=O)O)c(c2ccc(cc2)S(=O)(=O)O)c(c(c1c1ccc(cc1)S(=O)(=O)O)c1ccc(cc1)S(=O)(=O)O)c1ccc(cc1)S(=O)(=O)O)O,0.105036199
177,O/C(=[O]/[M])/CNC(=O)C(=O)NCC(=O)O,0.104827821
178,[M]OS(=O)(=O)c1ccccc1P(C1=CC=CO1)C1=CC=CO1,0.104816914
179,[M][O]([C@@H]1C[C@H](OCC(=O)N(C2CCCCC2)C2CCCCC2)C[C@@H](C1)OCC(=O)N(C1CCCCC1)C1CCCCC1)CC(=O)N(C1CCCCC1)C1CCCCC1,0.104806185
180,OC[C@H]([C@H]([C@@H]([C@H](CN(C(=S)S)C)O)O)O[M])O,0.104806006
181,[M]OC(=O)[C@@H](N1C=NC=C1)C,0.104527771
